Sl. No.,States/UTs,No. of SHCs Issued to Farmers - Cycle-I (2015-17),No. of SHCs Issued to Farmers - Cycle-II (2017-19),No. of SHCs Issued to Farmers - Model Village Programme (2019-20),No. of SHCs Issued to Farmers - 2020-21,Total
1,Andaman and Nicobar,10000,9540,1007,3000,23547
2,Andhra Pradesh,7455204,6927733,226487,NA,14609424
3,Arunachal Pradesh,20532,44256,5432,53,70273
4,Assam,1300901,1296197,67860,NA,2664958
5,Bihar,6469650,6277942,123866,305223,13176681
6,Chhattisgarh,3890709,5514508,65341,387,9470945
7,Dadra and Nagar Haveli,2222,12994,581,NA,15797
8,Goa,25000,19550,2909,6556,54015
9,Gujarat,5108923,8671152,63591,NA,13843666
10,Haryana,4227238,4143900,25605,18972,8415715
11,Himachal Pradesh,385011,960765,19671,5168,1370615
12,Jammu and Kashmir,692062,1014182,56742,159890,1924594
13,Ladakh,NA,NA,1718,NA,NA
14,Jharkhand,637507,263815,24037,NA,925359
15,Karnataka,7832189,9073145,73221,40104,17018659
16,Kerala,763435,2319002,126540,118022,3326999
17,Madhya Pradesh,8872377,8907385,127585,133000,18040347
18,Maharashtra,12977232,13067735,201837,NA,26246804
19,Manipur,114522,114522,10010,10010,249064
20,Meghalaya,209561,216514,3243,8531,437849
21,Mizoram,11986,16458,2119,NA,30563
22,Nagaland,184797,12000,27304,NA,224101
23,Odisha,2374233,2047308,440927,52056,4914524
24,Puducherry,19594,12089,2508,64,34255
25,Punjab,1251726,1160568,19196,19196,2450686
26,Rajasthan,6886000,12079000,104774,33347,19103121
27,Sikkim,46000,66000,2936,NA,114936
28,Tamil Nadu,7000000,7016654,58317,32750,14107721
29,Telangana,5720737,4842509,110664,165527,10839437
30,Tripura,117723,158337,15002,6467,297529
31,Uttar Pradesh,17014573,20354551,255517,27014,37651655
32,Uttarakhand,750494,882797,13645,6700,1653636
33,West Bengal,5040510,4423049,91360,NA,9554919
Total,Total,107412648,121926157,2371552,1152037,232862394
